sBathroom,sBedroom,sBed Extension,sCloset,sDining,sFoyer,sHall,sKitchen,sLiving,sMaster Bedroom,sTv Room,sWashing,sWaking Cl,lBathroom,lBedroom,lBed Extension,lCloset,lDining,lFoyer,lHall,lKitchen,lLiving,lMaster Bedroom,lTv Room,lWashing,lWaking Cl,aBathroom,aBedroom,aBed Extension,aCloset,aDining,aFoyer,aHall,aKitchen,aLiving,aMaster Bedroom,aTv Room,aWashing,aWaking Cl,pBathroom,pBedroom,pBed Extension,pCloset,pDining,pFoyer,pHall,pKitchen,pLiving,pMaster Bedroom,pTv Room,pWashing,pWaking Cl,tBathroom,tBedroom,tBed Extension,tCloset,tDining,tFoyer,tHall,tKitchen,tLiving,tMaster Bedroom,tTv Room,tWashing,tWaking Cl,dBathroom,dBedroom,dBed Extension,dCloset,dDining,dFoyer,dHall,dKitchen,dLiving,dMaster Bedroom,dTv Room,dWashing,dWaking Cl,wBathroom,wBedroom,wBed Extension,wCloset,wDining,wFoyer,wHall,wKitchen,wLiving,wMaster Bedroom,wTv Room,wWashing,wWaking Cl,xBathroom,xBedroom,xBed Extension,xCloset,xDining,xFoyer,xHall,xKitchen,xLiving,xMaster Bedroom,xTv Room,xWashing,xWaking Cl,yBathroom,yBedroom,yBed Extension,yCloset,yDining,yFoyer,yHall,yKitchen,yLiving,yMaster Bedroom,yTv Room,yWashing,yWaking Cl,jBathroom,jBedroom,jBed Extension,jCloset,jDining,jFoyer,jHall,jKitchen,jLiving,jMaster Bedroom,jTv Room,jWashing,jWaking Cl,cBathroom,cBedroom,cBed Extension,cCloset,cDining,cFoyer,cHall,cKitchen,cLiving,cMaster Bedroom,cTv Room,cWashing,cWaking Cl
1.5,3,#N/A,0.6,#N/A,1.5,1.5,3,4,3.5,3,0.6,1.5,2.5,4.4,#N/A,3,#N/A,4,2.5,4,6,5,4,4,2.5,3.75,13.2,#N/A,1.8,#N/A,6,3.75,12,24,17.5,12,2.4,3.75,0.6,0.681818182,#N/A,1,#N/A,0.375,0.6,0.75,1,1,0.75,0.15,1,0.036092397,0.127045236,#N/A,0.01732435,#N/A,0.057747834,0.036092397,0.115495669,0.230991338,0.168431184,0.115495669,0.023099134,0.036092397,1.5,3,#N/A,3,#N/A,1.5,#N/A,3,6,5,3,0.6,2.5,2.5,4.4,#N/A,0.6,#N/A,4,2.5,4,4,3.5,4,4,1.5,6.3,3.3,#N/A,3.3,#N/A,6.3,6.3,7.8,0.3,7.8,5,10.8,10.3,-2.07,-3.97,#N/A,-4.57,#N/A,-8.57,-4.57,-8.57,-8.57,-3.07,-4.57,-8.57,-4.57,"Mb,Be,Ha,","Ba,Ha,Cl,", ,"Ha,Li,Be,", ,"Ki,Li,Ha,","Ba,Mb,Be,Cl,Fo,Ba,","Wa,Fo,Ba,Wc,","Fo,Cl,","Ba,Ha,Ba,Wc,","Be,Cl,Li,Ha","Ki,Wc,","Ba,Ki,Wa,Mb,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx","Li,Ha,Be,Mb",Ki,"Be,Mb"
1.5,3,#N/A,0.6,2.5,#N/A,1.5,2.5,5,3.1,2.5,#N/A,1.5,2.5,4,#N/A,3,3,#N/A,2.1,3,6,4.5,3.5,#N/A,2,3.75,12,#N/A,1.8,7.5,#N/A,3.15,7.5,30,13.95,8.75,#N/A,3,0.6,1,#N/A,0.2,0.833333333,#N/A,1,0.833333333,0.833333333,0.688888889,0.714285714,#N/A,0.75,0.039411456,0.126116658,#N/A,0.018917499,0.078822911,#N/A,0.033105623,0.078822911,0.315291645,0.146610615,0.091960063,#N/A,0.031529164,1.5,4,#N/A,0.6,2.5,#N/A,2.1,2.5,5,3.1,2.5,#N/A,1.5,2.5,3,#N/A,3,3,#N/A,1.5,3,6,4.5,3.5,#N/A,2,8.4,5.9,#N/A,5.3,0.3,#N/A,5.3,2.8,0.3,5.3,0.3,#N/A,8.4,-6.57,-2.57,#N/A,-2.57,-2.57,#N/A,-4.07,-2.57,0.43,-8.57,0.43,#N/A,-8.57,"Mb,Wc,Ba,","Cl,Ha,Ba,", ,"Be,Ki,Ha,","Ki,", ,"Ba,Mb,Be,Cl,","Cl,Di,","Di,Ki,Ha, Mb","Wc,Ba,Ha,Ba,","Li,Ha,Ba,Ha,", ,"Mb,Ba,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb","Li,Ki", ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx","Li,Ha,Be,Mb", ,"Be,Mb"
1.5,3.1,#N/A,0.6,#N/A,1.5,1.5,3,4.5,4,#N/A,#N/A,1.5,2.5,3.5,#N/A,3.5,#N/A,1.5,5.2,3,6,5,#N/A,#N/A,2.1,3.75,10.85,#N/A,2.1,#N/A,2.25,7.8,9,27,20,#N/A,#N/A,3.15,1,0.885714286,#N/A,0.171428571,#N/A,1,1,1,0.75,0.8,#N/A,#N/A,1,0.041413584,0.119823302,#N/A,0.023191607,#N/A,0.02484815,0.086140254,0.099392601,0.298177802,0.220872446,#N/A,#N/A,0.03478741,2.5,3.1,#N/A,0.6,#N/A,1.5,5.2,3,4.5,4,#N/A,#N/A,2.1,1.5,3.5,#N/A,3.5,#N/A,1.5,1.5,3,6,5,#N/A,#N/A,1.5,5.4,4.8,#N/A,7.9,#N/A,3.3,3.3,0.3,0.3,8.5,#N/A,#N/A,10.4,-8.57,-5.57,#N/A,-5.57,#N/A,-8.57,-7.07,-8.57,-5.57,-7.07,#N/A,#N/A,-8.57,"Ba,Cl,Ha,","Cl,Li,Ha,", ,"Mb,Be,Ha,", ,"Cl,Ki,Ha,","Mb,Ki,Ba,Ba,Fo,Cl,Li,Be,Cl,","Ha,Fo,Li,","Be,Ki,Ha,","Cl,Ha,Wc,Ba,", , ,"Ba,Mb,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", , ,"Be,Mb"
1.5,3,#N/A,0.6,#N/A,#N/A,1,3,4,4,#N/A,#N/A,#N/A,2.5,4.4,#N/A,3,#N/A,#N/A,1.4,4,6.5,4.4,#N/A,#N/A,#N/A,3.75,13.2,#N/A,1.8,#N/A,#N/A,1.4,12,26,17.6,#N/A,#N/A,#N/A,1,0.681818182,#N/A,1,#N/A,#N/A,0.714285714,0.75,1,0.909090909,#N/A,#N/A,#N/A,0.043859649,0.154385965,#N/A,0.021052632,#N/A,#N/A,0.016374269,0.140350877,0.304093567,0.205847953,#N/A,#N/A,#N/A,2.5,3,#N/A,3,#N/A,#N/A,1,3,6.5,4,#N/A,#N/A,#N/A,1.5,4.4,#N/A,0.6,#N/A,#N/A,1.4,4,4,4.4,#N/A,#N/A,#N/A,3.3,0.3,#N/A,0.3,#N/A,#N/A,4.8,0.3,3.3,5.8,#N/A,#N/A,#N/A,-1.83,-4.73,#N/A,-5.33,#N/A,#N/A,-4.73,-9.33,-9.33,-4.73,#N/A,#N/A,#N/A,"Mb,Be,Ba,","Ba,Ba,Ha,Cl,", ,"Ha,Ki,Be,", , ,"Mb,Ha,Cl,Ba,","Li,Cl,","Ki,Cl,Ha,Cl,","Ba,Ba,Ha,Cl,", , , ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", , , 
1.5,2.91,#N/A,0.58,#N/A,#N/A,1.39,3,4,3.1,#N/A,1,#N/A,2.38,3.4,#N/A,2.91,#N/A,#N/A,1.5,3.1,7.1,3.7,#N/A,1.29,#N/A,3.57,9.894,#N/A,1.6878,#N/A,#N/A,2.085,9.3,28.4,11.47,#N/A,1.29,#N/A,1,0.855882353,#N/A,1,#N/A,#N/A,0.926666667,0.967741935,0.563380282,1,#N/A,1,#N/A,0.047028262,0.130335468,#N/A,0.022233698,#N/A,#N/A,0.027466086,0.122510598,0.374118385,0.151096404,#N/A,0.016993406,#N/A,2.38,2.91,#N/A,2.91,#N/A,#N/A,1.39,3,4,3.7,#N/A,1.29,#N/A,1.5,3.4,#N/A,0.58,#N/A,#N/A,1.5,3.1,7.1,3.1,#N/A,1,#N/A,4.62,0.3,#N/A,0.3,#N/A,#N/A,3.21,4,7,0.3,#N/A,5.71,#N/A,-7.43,-7.43,#N/A,-4.01,#N/A,#N/A,-4.93,-3.43,-7.43,-3.43,#N/A,-5.93,#N/A,"Li,Ba,Ha,Wa,","Ba,Ha,", ,"Ha,Mb,", , ,"Ha,Be,Cl,Ba,Ki,Mb,","Li,Mb,Ha,Ha,","Ki,Ba,Ha,Wa,","Ki,Cl,Ha,", ,"Li,Ha,Ba,Ha,", ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki, 
1.5,3.5,0.6,0.6,#N/A,0.6,2.4,2.28,4,3.5,#N/A,0.6,1.5,2.5,3.5,1,2.5,#N/A,1.5,4.5,3.4,4.82,4.1,#N/A,2.28,2.5,3.75,12.25,0.6,1.5,#N/A,0.9,10.8,7.752,19.28,14.35,#N/A,1.368,3.75,1,1,1,1,#N/A,1,1,1,0.829875519,0.853658537,#N/A,0.263157895,1,0.048015365,0.156850192,0.007682458,0.019206146,#N/A,0.011523688,0.138284251,0.099257362,0.246862996,0.183738796,#N/A,0.017516005,0.048015365,2.5,3.5,1,2.5,#N/A,1.5,4.5,3.4,4,3.5,#N/A,0.6,2.5,1.5,3.5,0.6,0.6,#N/A,0.6,2.4,2.28,4.82,4.1,#N/A,2.28,1.5,0.3,3.8,3.8,4.8,#N/A,5.8,2.8,7.3,7.3,0.3,#N/A,10.7,0.3,-5.53,-1.93,-2.53,-2.53,#N/A,-5.53,-4.93,-0.71,-5.53,-2.53,#N/A,-0.71,-4.03,"Ha,Cl,Wc,","Li,Ki,Mb,Cl,Bi,","Cl,Mb,Ha,Be,","Li,Bi,Ha,Be,", ,"Li,Cl,Ha,","Li,Wc,Ba,Cl,Fo,Mb,Cl,Bx,","Wa,Be,Li,","Be,Cl,Ha,Fo,Ki,Wa,","Be,Bx,Wc,Ha,", ,"Ki,Li,","Ha,Ba,Mb,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx","Be,Ha,Tv","Be,Mb", ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki,"Be,Mb"
1.5,3,0.6,0.6,#N/A,1.5,0.9,2.5,4,4,#N/A,1.78,#N/A,2.1,4.4,0.9,2.1,#N/A,3,1.5,3,5,5,#N/A,1.99,#N/A,3.15,13.2,0.54,1.26,#N/A,4.5,1.35,7.5,20,20,#N/A,3.5422,#N/A,1,0.681818182,1,1,#N/A,0.5,0.6,0.833333333,0.8,0.8,#N/A,1,#N/A,0.037897016,0.158806545,0.006496631,0.015158807,#N/A,0.054138595,0.016241578,0.090230991,0.240615977,0.240615977,#N/A,0.042615496,#N/A,2.1,3,0.9,2.1,#N/A,1.5,0.9,2.5,4,4,#N/A,1.99,#N/A,1.5,4.4,0.6,0.6,#N/A,3,1.5,3,5,5,#N/A,1.78,#N/A,9.2,8.3,8.3,9.2,#N/A,6.8,8.3,4.3,4.3,0.3,#N/A,2.31,#N/A,-4.53,-0.93,-1.53,-1.53,#N/A,-4.53,-4.53,-4.53,-1.53,-1.53,#N/A,-3.31,#N/A,"Ha,Ba,","Li,Cl,Bi,","Cl,Li,Ba,Be,","Bi,Ba,Be,", ,"Ba,Ha,Ki,Li,","Ba,Fo,Ba,","Fo,Wa,Li,","Be,Bi,Mb,Ki,Fo,","Li,Ba,Wa,", ,"Ki,Ba,Mb,", ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx","Be,Ha,Tv","Be,Mb", ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki, 
1.95,3.5,#N/A,0.6,#N/A,#N/A,1.14,2.4,4,3.9,#N/A,1.36,1.5,2.5,4,#N/A,2,#N/A,#N/A,1.99,2.5,4.99,4,#N/A,2,1.95,4.875,14,#N/A,1.2,#N/A,#N/A,2.2686,6,19.96,15.6,#N/A,2.72,2.925,0.78,0.875,#N/A,1,#N/A,#N/A,1,0.96,1,0.975,#N/A,1,1,0.060526976,0.173821059,#N/A,0.014898948,#N/A,#N/A,0.028166461,0.074494739,0.247819167,0.193686323,#N/A,0.033770949,0.036316185,1.95,3.5,#N/A,2,#N/A,#N/A,1.99,2.4,4.99,3.9,#N/A,2,1.95,2.5,4,#N/A,0.6,#N/A,#N/A,1.14,2.5,4,4,#N/A,1.36,1.5,10.68,0.24,#N/A,0.24,#N/A,#N/A,3.74,5.73,3.74,8.73,#N/A,3.73,8.73,0.47,-3.53,#N/A,0.47,#N/A,#N/A,0.47,0.47,-3.53,-3.53,#N/A,1.61,1.47,"Wc,Ha,Mb,","Li,Cl,Ha,", ,"Ha,Be,Ba,", , ,"Ki,Ha,Li,Wa,","Ha,Cl,Ha,Wa,Li,","Mb,Be,Ki,Ha,Ha,","Li,Ba,Ha,", ,"Ki,Cl,Ha,","Ba,Cl,Ha,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki,"Be,Mb"
1.5,3.5,#N/A,0.6,#N/A,1.5,1.5,2.1,4,3.5,#N/A,1.5,1.75,2.5,4.5,#N/A,2.5,#N/A,5,2.1,2.5,4.5,5,#N/A,2.5,2.5,3.75,15.75,#N/A,1.5,#N/A,7.5,3.15,5.25,18,17.5,#N/A,3.75,4.375,0.6,1,#N/A,0.24,#N/A,0.3,1,0.84,1,0.7,#N/A,0.6,0.7,0.043103448,0.181034483,#N/A,0.017241379,#N/A,0.086206897,0.036206897,0.060344828,0.206896552,0.201149425,#N/A,0.043103448,0.050287356,1.5,4.5,#N/A,0.6,#N/A,1.5,2.1,2.1,4.5,3.5,#N/A,1.5,1.75,2.5,3.5,#N/A,2.5,#N/A,5,1.5,2.5,4,5,#N/A,2.5,2.5,5.24,7.34,#N/A,6.74,#N/A,3.74,5.24,5.24,7.34,0.24,#N/A,3.74,0.24,-2.91,-2.91,#N/A,-2.91,#N/A,-2.91,0.59,2.09,0.59,-2.91,#N/A,2.09,2.09,"Cl,Fo,Ha,Cl,","Cl,Ha,Li,", ,"Be,Ba,Ha,", ,"Ba,Ha,Cl,Mb,Wa,","Li,Fo,Ha,Cl,Ki,","Li,Wa,Ha,","Ki,Ha,Be,","Fo,Wc,Ba,", ,"Ki,Ba,Fo,","Ba,Mb,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki,"Be,Mb"
1.5,3.5,#N/A,#N/A,2,1.42,1.5,2.58,4,4,#N/A,1.5,1.5,3.5,4,#N/A,#N/A,3,3,1.5,3,6,4,#N/A,3,2,5.25,14,#N/A,#N/A,6,4.26,2.25,7.74,24,16,#N/A,4.5,3,1,0.875,#N/A,#N/A,0.666666667,0.473333333,1,0.86,1,1,#N/A,0.5,1,0.053846154,0.143589744,#N/A,#N/A,0.061538462,0.043692308,0.023076923,0.079384615,0.246153846,0.164102564,#N/A,0.046153846,0.030769231,3.5,3.5,#N/A,#N/A,2,1.42,1.5,2.58,6,4,#N/A,1.5,2,1.5,4,#N/A,#N/A,3,3,1.5,3,4,4,#N/A,3,1.5,14.3,-0.2,#N/A,#N/A,3.3,7.88,1.8,5.3,3.3,9.3,#N/A,9.3,-0.2,-6.57,-3.57,#N/A,#N/A,-6.57,-6.57,-5.07,-6.57,-3.57,-3.57,#N/A,-6.57,-5.07,"Di,Wc,Ha,","Li,Wc,Ha,", , ,"Ki,Ba,Ha,Li,","Wa,Ki,Li,","Di,Wc,Ba,Be,","Fo,Di,Li,","Mb,Be,Di,Ki,Fo,","Wc,Li,Ba,Wa,", ,"Ba,Fo,Mb,","Ha,Ba,Be,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", , ,"Li,Ki","Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki,"Be,Mb"
1.5,3,#N/A,0.6,#N/A,#N/A,1.5,2.5,4.5,4,#N/A,2,#N/A,2.5,4.4,#N/A,3,#N/A,#N/A,2.5,3,5.5,4.4,#N/A,3,#N/A,3.75,13.2,#N/A,1.8,#N/A,#N/A,3.75,7.5,24.75,17.6,#N/A,6,#N/A,0.6,0.681818182,#N/A,1,#N/A,#N/A,0.6,1,1,0.909090909,#N/A,1,#N/A,0.046439628,0.163467492,#N/A,0.022291022,#N/A,#N/A,0.046439628,0.092879257,0.306501548,0.217956656,#N/A,0.074303406,#N/A,1.5,3,#N/A,3,#N/A,#N/A,1.5,3,5.5,4,#N/A,3,#N/A,2.5,4.4,#N/A,0.6,#N/A,#N/A,2.5,2.5,4.5,4.4,#N/A,2,#N/A,3.8,5.3,#N/A,5.3,#N/A,#N/A,3.8,5.3,-0.2,-0.2,#N/A,5.3,#N/A,-0.07,-1.97,#N/A,-2.57,#N/A,#N/A,-2.57,-7.07,-7.07,-1.97,#N/A,-4.57,#N/A,"Be,Mb,Ha,","Ba,Ha,Cl,", ,"Ha,Wa,Be,", , ,"Be,Cl,Mb,Cl,Li,Ba,","Li,Wa,","Ki,Wa,Cl,Ha,","Ba,Ha,Cl,", ,"Li,Ki,Cl,", ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki, 
1.5,3.5,#N/A,0.6,#N/A,#N/A,1.49,3.27,4,4.4,#N/A,0.73,#N/A,3.01,4.5,#N/A,3.01,#N/A,#N/A,2.7,3.5,7.1,4.5,#N/A,3.5,#N/A,4.515,15.75,#N/A,1.806,#N/A,#N/A,4.023,11.445,28.4,19.8,#N/A,2.555,#N/A,1,1,#N/A,1,#N/A,#N/A,0.551851852,0.934285714,0.563380282,1,#N/A,0.208571429,#N/A,0.050110988,0.174805771,#N/A,0.020044395,#N/A,#N/A,0.044650388,0.127025527,0.315205327,0.219755827,#N/A,0.028357381,#N/A,3.01,4.5,#N/A,3.01,#N/A,#N/A,1.49,3.27,4,4.5,#N/A,0.73,#N/A,1.5,3.5,#N/A,0.6,#N/A,#N/A,2.7,3.5,7.1,4.4,#N/A,3.5,#N/A,5.33,3.84,#N/A,5.33,#N/A,#N/A,3.84,0.57,-0.16,3.84,#N/A,-0.16,#N/A,-3.67,-1.57,#N/A,-2.17,#N/A,#N/A,-4.27,-1.57,-8.67,-8.67,#N/A,-1.57,#N/A,"Ha,Cl,Cl,","Ki,Cl,Ha,", ,"Ha,Ba,Be,", , ,"Cl,Cl,Ba,Li,Mb,Be,","Be,Wa,Li,","Mb,Ha,Ki,Wa,","Li,Cl,Ha,", ,"Ki,Li,", ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki, 
1.7,3,#N/A,0.6,#N/A,#N/A,1.2,3,4,3.5,#N/A,0.6,#N/A,2.5,3.5,#N/A,3,#N/A,#N/A,2.4,4,4.5,4,#N/A,1.3,#N/A,4.25,10.5,#N/A,1.8,#N/A,#N/A,2.88,12,18,14,#N/A,0.78,#N/A,0.68,1,#N/A,0.2,#N/A,#N/A,1,1,0.888888889,0.875,#N/A,0.461538462,#N/A,0.061638869,0.152284264,#N/A,0.026105874,#N/A,#N/A,0.041769398,0.174039159,0.261058738,0.203045685,#N/A,0.011312545,#N/A,1.7,3.5,#N/A,0.6,#N/A,#N/A,2.4,4,4,3.5,#N/A,0.6,#N/A,2.5,3,#N/A,3,#N/A,#N/A,1.2,3,4.5,4,#N/A,1.3,#N/A,-0.02,-0.02,#N/A,3.48,#N/A,#N/A,1.68,4.08,4.08,-0.02,#N/A,3.48,#N/A,-5.72,-3.22,#N/A,-3.22,#N/A,#N/A,-4.42,-3.22,-7.72,-9.72,#N/A,-5.72,#N/A,"Ha,Cl,Mb,Be,","Cl,Ba,Ha,", ,"Ki,Be,Ha,", , ,"Li,Ba,Ha,Cl,Wa,Be,Cl,","Cl,Li,","Cl,Ha,Wa,Ki,","Cl,Ba,Ha,Cl,", ,"Li,Ha,Cl,Ha,", ,"Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", ,"Be,Mb", , ,"Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", ,Ki, 
1.5,3,#N/A,#N/A,#N/A,1.5,1.5,2.5,4,4,#N/A,#N/A,1.5,3,5,#N/A,#N/A,#N/A,3,1.5,3,5,5,#N/A,#N/A,2.5,4.5,15,#N/A,#N/A,#N/A,4.5,2.25,7.5,20,20,#N/A,#N/A,3.75,1,0.6,#N/A,#N/A,#N/A,0.5,1,0.833333333,0.8,0.8,#N/A,#N/A,1,0.051145082,0.170483605,#N/A,#N/A,#N/A,0.051145082,0.025572541,0.085241803,0.227311474,0.227311474,#N/A,#N/A,0.042620901,3,3,#N/A,#N/A,#N/A,1.5,1.5,2.5,4,4,#N/A,#N/A,2.5,1.5,5,#N/A,#N/A,#N/A,3,1.5,3,5,5,#N/A,#N/A,1.5,7.8,7.8,#N/A,#N/A,#N/A,6.3,2.3,3.8,3.8,-0.2,#N/A,#N/A,-0.2,-2.33,-8.83,#N/A,#N/A,#N/A,-3.83,-3.83,-3.83,-8.83,-8.83,#N/A,#N/A,-3.83,"Fo,Wc,Ha,","Li,Wc,Ha,", , , ,"Ba,Ha,Ki,Li,","Ki,Wc,Mb,Ba,","Fo,Ba,Ha,Li,","Be,Mb,Ki,Fo,","Li,Wc,Ha,", , ,"Ha,Mb,Ba,","Ha,Be,Mb","Ha,Cl,Tv,Wc,Bx", , , ,"Li,Ha","Li,Ba,Be,Mb,Fo","Wa,Li","Ki,Ha,Mb","Ha,Cl,Tv,Wc,Bx", , ,"Be,Mb"
