sBathroom,sBedroom,sBed Extension,sCloset,sDining,sFoyer,sHall,sKitchen,sLiving,sMaster Bedroom,sTv Room,sWashing,sWaking Cl,lBathroom,lBedroom,lBed Extension,lCloset,lDining,lFoyer,lHall,lKitchen,lLiving,lMaster Bedroom,lTv Room,lWashing,lWaking Cl,aBathroom,aBedroom,aBed Extension,aCloset,aDining,aFoyer,aHall,aKitchen,aLiving,aMaster Bedroom,aTv Room,aWashing,aWaking Cl,pBathroom,pBedroom,pBed Extension,pCloset,pDining,pFoyer,pHall,pKitchen,pLiving,pMaster Bedroom,pTv Room,pWashing,pWaking Cl,tBathroom,tBedroom,tBed Extension,tCloset,tDining,tFoyer,tHall,tKitchen,tLiving,tMaster Bedroom,tTv Room,tWashing,tWaking Cl,jBathroom,jBedroom,jBed Extension,jCloset,jDining,jFoyer,jHall,jKitchen,jLiving,jMaster Bedroom,jTv Room,jWashing,jWaking Cl,cBathroom,cBedroom,cBed Extension,cCloset,cDining,cFoyer,cHall,cKitchen,cLiving,cMaster Bedroom,cTv Room,cWashing,cWaking Cl,xBathroom,xBedroom,xBed Extension,xCloset,xDining,xFoyer,xHall,xKitchen,xLiving,xMaster Bedroom,xTv Room,xWashing,xWaking Cl,yBathroom,yBedroom,yBed Extension,yCloset,yDining,yFoyer,yHall,yKitchen,yLiving,yMaster Bedroom,yTv Room,yWashing,yWaking Cl,dBathroom,dBedroom,dBed Extension,dCloset,dDining,dFoyer,dHall,dKitchen,dLiving,dMaster Bedroom,dTv Room,dWashing,dWaking Cl,wBathroom,wBedroom,wBed Extension,wCloset,wDining,wFoyer,wHall,wKitchen,wLiving,wMaster Bedroom,wTv Room,wWashing,wWaking Cl
2,3.5,#N/A,0.7,4.2,1.3,1.3,3.8,3.8,4.2,#N/A,#N/A,1.4,2.9,5.01,#N/A,1.3,4.2,2.7,1.3,4.2,10.01,5.91,#N/A,#N/A,1.7,5.8,17.535,#N/A,0.90999997,17.639997,3.51,1.6899998,15.959999,38.038002,24.821999,#N/A,#N/A,2.38,0.69,0.7,#N/A,0.54,1,0.48,1,0.9,0.38,0.71,#N/A,#N/A,0.82,0.04080341,0.123359956,#N/A,0.006401914,0.12409862,0.024693096,0.011889268,0.11227971,0.26760003,0.1746245,#N/A,#N/A,0.016743468,"Ha,Cl,Ki,Cl,Ha,Wc,","Ha,Cl,Mb,", ,"Li,Ha,Ba,Ki,","Li,Ki,","Li,","Li,Cl,Ba,Cl,Cl,","Li,Cl,Ba,Di,","Fo,Ha,Cl,Ki,Di,Ha,Ba,","Ha,Cl,Cl,Ha,Wc,Be,", , ,"Ba,Ha,Mb,","Ha,","Ha,Cl,", ,"Ha,","Li,Ki,","Li,","Li,Cl,Ba,","Li,Di,","Fo,Ha,Ki,Di,Ha,","Ha,", , ,"Ha,",8.21,12.81,#N/A,8.21,0.2,8.91,8.91,4.4,0.2,11.91,#N/A,#N/A,10.21,5.01,9.21,#N/A,7.91,5.01,13.01,7.91,5.01,9.21,5.01,#N/A,#N/A,5.01,2,5.01,#N/A,0.7,4.2,1.3,1.3,3.8,10.01,5.91,#N/A,#N/A,1.7,2.9,3.5,#N/A,1.3,4.2,2.7,1.3,4.2,3.8,4.2,#N/A,#N/A,1.4
2.43,3.88,#N/A,0.97,2.08,#N/A,1.46,2.08,4.92,#N/A,#N/A,#N/A,#N/A,2.91,5.06,#N/A,2.01,3.4,#N/A,2.36,3.33,8.73,#N/A,#N/A,#N/A,#N/A,7.0713005,19.632801,#N/A,1.9497,7.072,#N/A,3.4456,6.9263997,42.9516,#N/A,#N/A,#N/A,#N/A,0.84,0.77,#N/A,0.48,0.61,#N/A,0.62,0.62,0.56,#N/A,#N/A,#N/A,#N/A,0.0754338,0.20943485,#N/A,0.020798618,0.07544126,#N/A,0.03675628,0.073888056,0.45819044,#N/A,#N/A,#N/A,#N/A,"Cl,Cl,Ha,","Li,Cl,Ha,", ,"Di,Li,","Ki,Cl,Li,", ,"Li,Be,Cl,Ba,Cl,","Di,Li,","Ki,Di,Cl,Be,Cl,Ha,", , , , ,"Ha,","Cl,Ha,", ,"Li,","Ki,Li,", ,"Li,Be,Ba,Cl,","Di,","Di,Cl,Ha,", , , , ,0.21,4.3,#N/A,0.62,2.63,#N/A,1.94,6.03,0.62,#N/A,#N/A,#N/A,#N/A,2.84,2.84,#N/A,11.64,11.64,#N/A,5.27,11.64,6.72,#N/A,#N/A,#N/A,#N/A,2.91,5.06,#N/A,2.01,3.4,#N/A,2.36,3.33,8.73,#N/A,#N/A,#N/A,#N/A,2.43,3.88,#N/A,0.97,2.08,#N/A,1.46,2.08,4.92,#N/A,#N/A,#N/A,#N/A
2.16,4.68,#N/A,1.08,#N/A,3.06,1.08,3.15,4.86,4.41,#N/A,#N/A,1.17,3.33,4.77,#N/A,3.33,#N/A,3.15,1.98,3.96,7.84,6.76,#N/A,#N/A,2.43,7.1928,22.323599,#N/A,3.5964,#N/A,9.639,2.1384,12.474001,38.1024,29.8116,#N/A,#N/A,2.8431,0.65,0.98,#N/A,0.32,#N/A,0.97,0.55,0.8,0.62,0.65,#N/A,#N/A,0.48,0.05151576,0.1598845,#N/A,0.02575788,#N/A,0.06903576,0.015315497,0.0893404,0.27289432,0.21351452,#N/A,#N/A,0.02036265,"Cl,Ki,Ha,","Li,Cl,Ha,", ,"Be,Ba,Ha,", ,"Li,Ki,Ba,","Li,Mb,Wc,Ba,","Li,Ba,Fo,Ha,","Mb,Be,Ki,Fo,Ba,Ha,Ha,","Li,Wc,Ha,", , ,"Mb,Ba,Ba,Ha,","Ha,","Cl,Ha,", ,"Be,", ,"Li,Ki,","Li,Mb,Ba,","Fo,","Fo,Ha,Ha,","Wc,Ha,", , ,"Mb,",11.89,10.54,#N/A,11.89,#N/A,5.95,3.69,9.01,5.68,1.26,#N/A,#N/A,1.26,7.21,10.45,#N/A,9.37,#N/A,4.23,7.39,4.23,7.39,8.47,#N/A,#N/A,7.3,3.33,4.68,#N/A,3.33,#N/A,3.06,1.98,3.96,4.86,4.41,#N/A,#N/A,2.43,2.16,4.77,#N/A,1.08,#N/A,3.15,1.08,3.15,7.84,6.76,#N/A,#N/A,1.17
2.2,#N/A,#N/A,1,#N/A,3.2,1.4,3.2,5.11,4.7,#N/A,#N/A,#N/A,3.1,#N/A,#N/A,2.2,#N/A,3.6,2,3.2,8.51,6.61,#N/A,#N/A,#N/A,6.82,#N/A,#N/A,2.2,#N/A,11.5199995,2.8,10.240001,43.486103,31.067,#N/A,#N/A,#N/A,0.71,#N/A,#N/A,0.45,#N/A,0.89,0.7,1,0.6,0.71,#N/A,#N/A,#N/A,0.058529176,#N/A,#N/A,0.018880378,#N/A,0.098864526,0.024029572,0.08787959,0.37319732,0.2666167,#N/A,#N/A,#N/A,"Cl,Cl,Ha,", , ,"Li,Mb,Cl,Ha,", ,"Li,Cl,Ki,Cl,Ha,","Mb,Cl,Cl,Cl,Ha,","Li,Fo,","Mb,Cl,Cl,Ki,Fo,","Li,Cl,Ha,Cl,", , , ,"Ha,", , ,0, ,"Li,Cl,Ki,Ha,","Mb,Cl,Ha,","Fo,","Fo,","Ha,", , , ,11.41,#N/A,#N/A,9.41,#N/A,11.31,9.41,11.31,2.8,2.8,#N/A,#N/A,#N/A,14.41,#N/A,#N/A,10.81,#N/A,8.91,13.01,5.71,5.71,10.81,#N/A,#N/A,#N/A,3.1,#N/A,#N/A,1,#N/A,3.2,2,3.2,8.51,6.61,#N/A,#N/A,#N/A,2.2,#N/A,#N/A,2.2,#N/A,3.6,1.4,3.2,5.11,4.7,#N/A,#N/A,#N/A
2.54,#N/A,#N/A,1.06,#N/A,3.11,1.39,2.78,4.67,4.18,#N/A,#N/A,1.72,3.44,#N/A,#N/A,1.8,#N/A,3.44,3.03,3.44,7.94,4.91,#N/A,#N/A,2.13,8.7376,#N/A,#N/A,1.9079999,#N/A,10.6984,4.2117,9.5632,37.0798,20.523798,#N/A,#N/A,3.6636002,0.74,#N/A,#N/A,0.59,#N/A,0.9,0.46,0.81,0.59,0.85,#N/A,#N/A,0.81,0.0867944,#N/A,#N/A,0.018952996,#N/A,0.10627187,0.041836653,0.09499544,0.36832982,0.20387185,#N/A,#N/A,0.03639214,"Li,Fo,Ha,", , ,"Li,Fo,Ha,Ki,", ,"Li,Cl,Cl,Ba,Ha,","Li,Mb,Ba,Wc,","Cl,Cl,Ha,","Mb,Fo,Cl,Ba,Ha,","Li,Ha,Wc,", , ,"Mb,Ha,","Ha,", , ,"Ha,", ,"Li,Ha,","Li,Mb,Ba,","Ha,","Fo,Ha,","Ha,Wc,", , ,"Mb,",3.44,#N/A,#N/A,9.09,#N/A,5.98,3.69,10.89,5.08,0.9,#N/A,#N/A,1.56,11.96,#N/A,#N/A,11.96,#N/A,11.96,8.93,11.96,4.01,4.01,#N/A,#N/A,8.93,2.54,#N/A,#N/A,1.8,#N/A,3.11,1.39,2.78,4.67,4.18,#N/A,#N/A,2.13,3.44,#N/A,#N/A,1.06,#N/A,3.44,3.03,3.44,7.94,4.91,#N/A,#N/A,1.72
1.88,3.19,#N/A,0.9,#N/A,1.88,#N/A,2.95,4.34,4.83,#N/A,#N/A,#N/A,3.19,5.57,#N/A,2.54,#N/A,5.9,#N/A,5.41,7.29,6.14,#N/A,#N/A,#N/A,5.9972,17.768301,#N/A,2.286,#N/A,11.092,#N/A,15.959499,31.638601,29.656199,#N/A,#N/A,#N/A,0.59,0.57,#N/A,0.35,#N/A,0.32,#N/A,0.55,0.6,0.79,#N/A,#N/A,#N/A,0.05040943,0.14935136,#N/A,0.01921496,#N/A,0.09323374,#N/A,0.13414748,0.26593807,0.24927501,#N/A,#N/A,#N/A,"Mb,Fo,","Li,Cl,Fo,", ,"Be,Ba,Fo,", ,"Li,Mb,Be,Ki,Ba,Ba,Cl,", ,"Li,Mb,Fo,","Be,Ki,Fo,","Ki,Ba,Fo,", , , ,"Mb,Fo,","Cl,Fo,", ,"Be,", ,"Li,Mb,Be,Ki,Ba,", ,"Fo,","Fo,","Ba,Fo,", , , ,12.78,2.54,#N/A,8.11,#N/A,6.88,#N/A,6.88,2.54,9.83,#N/A,#N/A,#N/A,9.5,11.38,#N/A,11.38,#N/A,9.5,#N/A,4.1,4.1,3.36,#N/A,#N/A,#N/A,1.88,5.57,#N/A,0.9,#N/A,5.9,#N/A,2.95,4.34,4.83,#N/A,#N/A,#N/A,3.19,3.19,#N/A,2.54,#N/A,1.88,#N/A,5.41,7.29,6.14,#N/A,#N/A,#N/A
1.95,4.05,#N/A,0.9,4.2,3.15,1.35,4.05,4.5,4.5,#N/A,#N/A,2.25,3.45,4.8,#N/A,3.9,4.65,4.8,6.01,4.2,8.71,7.21,#N/A,#N/A,4.2,6.7275004,19.440002,#N/A,3.51,19.529999,15.120001,8.113501,17.01,39.195,32.445,#N/A,#N/A,9.45,0.57,0.84,#N/A,0.23,0.9,0.66,0.22,0.96,0.52,0.62,#N/A,#N/A,0.54,0.033353418,0.096379116,#N/A,0.017401783,0.096825294,0.07496153,0.04022489,0.08433171,0.1943199,0.16085494,#N/A,#N/A,0.046850953,"Fo,Ba,Ha,","Mb,Be,Ha,", ,"Be,Ki,Fo,","Li,Ki,","Li,Be,Ki,Cl,Ba,Ha,","Mb,Be,Be,Fo,Ba,Ba,Cl,","Li,Di,Cl,Fo,","Di,Ki,Fo,","Be,Wc,Cl,Ha,", , ,"Mb,Ba,Cl,","Ha,","Ha,", ,"Be,","Li,","Li,Be,Ha,","Mb,Be,Fo,Ba,","Li,","Di,Ki,Fo,","Wc,Ha,", , ,"Mb,Ba,",14.26,16.22,#N/A,11.11,2.4,11.11,14.26,7.06,2.4,20.27,#N/A,#N/A,18.47,12.76,6.61,#N/A,7.51,7.51,11.41,11.41,7.51,11.71,6.61,#N/A,#N/A,13.81,1.95,4.05,#N/A,0.9,4.65,3.15,6.01,4.05,8.71,4.5,#N/A,#N/A,4.2,3.45,4.8,#N/A,3.9,4.2,4.8,1.35,4.2,4.5,7.21,#N/A,#N/A,2.25
2.1,#N/A,1.2,0.6,#N/A,2.7,1.2,#N/A,3.9,3,#N/A,#N/A,1.2,2.7,#N/A,1.8,1.2,#N/A,3,1.2,#N/A,5.71,3.9,#N/A,#N/A,1.8,5.67,#N/A,2.16,0.72,#N/A,8.1,1.44,#N/A,22.269001,11.700001,#N/A,#N/A,2.16,0.78,#N/A,0.67,0.5,#N/A,0.9,1,#N/A,0.68,0.77,#N/A,#N/A,0.67,0.09425024,#N/A,0.035904855,0.011968285,#N/A,0.1346432,0.02393657,#N/A,0.37016907,0.19448462,#N/A,#N/A,0.035904855,"Fo,Cl,Cl,Ha,", ,"Li,Mb,Ba,Bx,Bx,Wc,","Li,Fo,Ba,Cl,Cl,Cl,Cl,Cl,Ha,", ,"Li,Ba,Cl,Cl,Ha,Ba,","Li,Fo,Ba,Cl,Cl,Ha,Ha,Ha,Ha,", ,"Mb,Fo,Cl,Ha,Ba,Bx,Wc,","Li,Bx,Wc,", , ,"Li,Mb,Bx,Wc,Wc,","Fo,Ha,", ,"Li,Mb,Ba,","Cl,Ha,", ,"Li,Ba,Ha,","Li,Fo,Ba,Cl,Cl,Ha,Ha,Ha,Ha,", ,"Fo,Ha,Bx,Wc,","Bx,Wc,", , ,"Li,Mb,Wc,Wc,",8.71,#N/A,3,7.51,#N/A,4.8,7.51,#N/A,4.2,1.2,#N/A,#N/A,1.2,20.42,#N/A,18.02,20.42,#N/A,19.82,21.02,#N/A,14.11,14.11,#N/A,#N/A,18.02,2.1,#N/A,1.2,1.2,#N/A,2.7,1.2,#N/A,3.9,3,#N/A,#N/A,1.8,2.7,#N/A,1.8,0.6,#N/A,3,1.2,#N/A,5.71,3.9,#N/A,#N/A,1.2
2.36,#N/A,#N/A,0.62,#N/A,2.77,0.97,#N/A,3.88,3.47,#N/A,#N/A,#N/A,2.49,#N/A,#N/A,2.22,#N/A,2.98,0.97,#N/A,6.24,4.5,#N/A,#N/A,#N/A,5.8764,#N/A,#N/A,1.3764,#N/A,8.2546,0.9409,#N/A,24.2112,15.615,#N/A,#N/A,#N/A,0.95,#N/A,#N/A,0.28,#N/A,0.93,1,#N/A,0.62,0.77,#N/A,#N/A,#N/A,0.09076642,#N/A,#N/A,0.021259768,#N/A,0.12749991,0.014533069,#N/A,0.37396434,0.24118808,#N/A,#N/A,#N/A,"Cl,Cl,Ha,", , ,"Mb,Ha,", ,"Li,Cl,Cl,Ha,Ba,","Fo,Cl,Cl,Ba,", ,"Mb,Fo,Ba,Ha,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ha,","Fo,Cl,Cl,Ba,", ,"Fo,Ha,","Cl,Ha,", , , ,9.08,#N/A,#N/A,1.32,#N/A,5.34,8.11,#N/A,4.78,1.32,#N/A,#N/A,#N/A,10.12,#N/A,#N/A,7.83,#N/A,9.63,10.88,#N/A,3.4,3.33,#N/A,#N/A,#N/A,2.36,#N/A,#N/A,2.22,#N/A,2.77,0.97,#N/A,3.88,3.47,#N/A,#N/A,#N/A,2.49,#N/A,#N/A,0.62,#N/A,2.98,0.97,#N/A,6.24,4.5,#N/A,#N/A,#N/A
1.93,#N/A,#N/A,0.77,#N/A,2.51,1.16,2.51,4.44,4.18,#N/A,#N/A,#N/A,3.02,#N/A,#N/A,2.96,#N/A,3.41,1.61,3.67,7.34,4.57,#N/A,#N/A,#N/A,5.8286,#N/A,#N/A,2.2792,#N/A,8.5591,1.8676,9.2117,32.5896,19.1026,#N/A,#N/A,#N/A,0.64,#N/A,#N/A,0.26,#N/A,0.74,0.72,0.68,0.6,0.91,#N/A,#N/A,#N/A,0.07234781,#N/A,#N/A,0.028290693,#N/A,0.10624029,0.023181684,0.11434073,0.40452015,0.23711205,#N/A,#N/A,#N/A,"Cl,Ha,Cl,", , ,"Mb,Ba,Ha,", ,"Li,Ki,","Li,Mb,Cl,Ba,Cl,","Li,Cl,Fo,","Mb,Ha,Ki,Cl,Fo,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ki,","Li,Mb,Ba,Cl,","Fo,","Ha,Fo,","Cl,Ha,", , , ,0.45,#N/A,#N/A,0.45,#N/A,7.72,3.47,4.05,4.63,0.45,#N/A,#N/A,#N/A,8.17,#N/A,#N/A,7.46,#N/A,10.23,7.53,10.23,2.9,2.9,#N/A,#N/A,#N/A,3.02,#N/A,#N/A,2.96,#N/A,3.41,1.16,3.67,4.44,4.18,#N/A,#N/A,#N/A,1.93,#N/A,#N/A,0.77,#N/A,2.51,1.61,2.51,7.34,4.57,#N/A,#N/A,#N/A
2.9,#N/A,#N/A,1.3,3.7,#N/A,1.8,3.7,6.21,4.7,#N/A,#N/A,#N/A,3.8,#N/A,#N/A,2.9,4.1,#N/A,2.9,4.2,11.01,6.41,#N/A,#N/A,#N/A,11.02,#N/A,#N/A,3.77,15.17,#N/A,5.2200003,15.54,68.3721,30.126999,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,0.45,0.9,#N/A,0.62,0.88,0.56,0.73,#N/A,#N/A,#N/A,0.071271926,#N/A,#N/A,0.0243825,0.09811208,#N/A,0.033760387,0.100505054,0.442197,0.19484656,#N/A,#N/A,#N/A,"Ha,Cl,Cl,", , ,"Mb,Ha,Ba,","Li,Cl,Ki,", ,"Li,Mb,Cl,Ba,Cl,","Li,Di,","Mb,Ha,Cl,Cl,Di,Ki,","Li,Ha,Cl,", , , ,"Ha,", , ,"Mb,","Li,Ki,", ,"Li,Mb,Ba,Cl,","Di,","Ha,Cl,Di,","Ha,Cl,", , , ,1.2,#N/A,#N/A,5.01,4.4,#N/A,3.4,8.51,1.7,6.31,#N/A,#N/A,#N/A,5.21,#N/A,#N/A,5.21,16.12,#N/A,8.11,16.12,9.91,5.21,#N/A,#N/A,#N/A,3.8,#N/A,#N/A,1.3,4.1,#N/A,2.9,4.2,11.01,6.41,#N/A,#N/A,#N/A,2.9,#N/A,#N/A,2.9,3.7,#N/A,1.8,3.7,6.21,4.7,#N/A,#N/A,#N/A
2.21,#N/A,0.98,0.98,#N/A,3.03,#N/A,3.11,4.91,4.5,#N/A,#N/A,#N/A,2.87,#N/A,1.47,3.03,#N/A,3.28,#N/A,4.42,8.76,4.83,#N/A,#N/A,#N/A,6.3427,#N/A,1.4406,2.9694,#N/A,9.9384,#N/A,13.7462,43.0116,21.735,#N/A,#N/A,#N/A,0.77,#N/A,0.67,0.32,#N/A,0.92,#N/A,0.7,0.56,0.93,#N/A,#N/A,#N/A,0.06394889,#N/A,0.014524536,0.029938329,#N/A,0.100201756,#N/A,0.13859306,0.4336551,0.21913841,#N/A,#N/A,#N/A,"Li,Cl,Ki,Bx,", ,"Li,Mb,Cl,Ba,","Mb,Ba,Bx,", ,"Li,Ki,", ,"Li,Li,Fo,Ba,","Mb,Fo,Ki,Ki,Ba,Bx,","Li,Cl,Bx,", , , ,"Bx,", ,"Mb,Cl,Ba,","Bx,", ,"Li,Ki,", ,"Fo,","Fo,","Bx,", , , ,6.06,#N/A,5.98,7.45,#N/A,2.62,#N/A,5.9,1.06,5.98,#N/A,#N/A,#N/A,10.16,#N/A,9.17,9.17,#N/A,13.1,#N/A,13.02,4.34,4.34,#N/A,#N/A,#N/A,2.21,#N/A,1.47,3.03,#N/A,3.28,#N/A,4.42,4.91,4.5,#N/A,#N/A,#N/A,2.87,#N/A,0.98,0.98,#N/A,3.03,#N/A,3.11,8.76,4.83,#N/A,#N/A,#N/A
2.29,#N/A,#N/A,1.06,#N/A,3.11,1.39,3.11,4.91,4.34,#N/A,#N/A,#N/A,2.78,#N/A,#N/A,2.95,#N/A,3.28,2.13,3.69,7.94,7.21,#N/A,#N/A,#N/A,6.3662,#N/A,#N/A,3.1269999,#N/A,10.2008,2.9607,11.4759,38.985397,31.2914,#N/A,#N/A,#N/A,0.82,#N/A,#N/A,0.36,#N/A,0.95,0.65,0.84,0.62,0.6,#N/A,#N/A,#N/A,0.060252666,#N/A,#N/A,0.029595375,#N/A,0.0965451,0.028021436,0.10861323,0.36897588,0.29615632,#N/A,#N/A,#N/A,"Cl,Ha,Cl,", , ,"Mb,Ha,Ba,", ,"Li,Ha,Cl,Ki,","Li,Mb,Cl,Cl,Ba,Fo,","Li,Fo,","Mb,Ha,Fo,Ki,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ki,","Mb,Cl,Ba,","Fo,","Fo,","Cl,Ha,", , , ,1.64,#N/A,#N/A,0.98,#N/A,5.32,3.93,8.6,5.32,0.98,#N/A,#N/A,#N/A,4.26,#N/A,#N/A,7.04,#N/A,4.26,5.98,4.26,7.37,8.11,#N/A,#N/A,#N/A,2.29,#N/A,#N/A,2.95,#N/A,3.28,1.39,3.69,4.91,4.34,#N/A,#N/A,#N/A,2.78,#N/A,#N/A,1.06,#N/A,3.11,2.13,3.11,7.94,7.21,#N/A,#N/A,#N/A
2.5,#N/A,#N/A,0.9,#N/A,3.1,1.5,3.2,5.31,4.9,#N/A,#N/A,#N/A,3.4,#N/A,#N/A,3.4,#N/A,3.4,2.2,5.01,9.71,6.21,#N/A,#N/A,#N/A,8.5,#N/A,#N/A,3.06,#N/A,10.54,3.3000002,16.032001,51.5601,30.429,#N/A,#N/A,#N/A,0.74,#N/A,#N/A,0.26,#N/A,0.91,0.68,0.64,0.55,0.79,#N/A,#N/A,#N/A,0.06787993,#N/A,#N/A,0.024436774,#N/A,0.08417112,0.026353385,0.12802954,0.41175246,0.24300218,#N/A,#N/A,#N/A,"Cl,Cl,Ha,", , ,"Mb,Ba,Ha,", ,"Li,Ki,","Li,Mb,Cl,Ba,Cl,","Li,Cl,Fo,","Mb,Cl,Ha,Ki,Fo,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ki,","Li,Mb,Ba,Cl,","Fo,","Ha,Fo,","Cl,Ha,", , , ,1.2,#N/A,#N/A,1.2,#N/A,9.91,4.6,4.9,6.11,1.2,#N/A,#N/A,#N/A,12.21,#N/A,#N/A,11.31,#N/A,14.81,11.31,14.71,5.11,5.11,#N/A,#N/A,#N/A,3.4,#N/A,#N/A,3.4,#N/A,3.4,1.5,5.01,5.31,4.9,#N/A,#N/A,#N/A,2.5,#N/A,#N/A,0.9,#N/A,3.1,2.2,3.2,9.71,6.21,#N/A,#N/A,#N/A
